店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
完全個室 仙台牛タン×焼き鳥居酒屋 なごみや 新橋烏森口店,050-5488-4158,,東京都,港区,新橋3-18-4,3F,https://ghxc402.gorp.jp/,TRUE
全席個室 じぶんどき 品川港南口店,050-5484-2495,,東京都,港区,港南2-5-14,カナーレ品川,https://r.gnavi.co.jp/rn4v47370000/?sc_type=area&sc_area=PREF13&sc_dsp=rs_227901,TRUE
メリハリヤ 小作店,050-5494-0320,,東京都,羽村,市小作台1-6-9,アドラシオン小作1F,https://gh3j100.gorp.jp/,TRUE
wine＠EBISU,050-5492-7975,,東京都,渋谷区,恵比寿南1-4-12,岩德ビル2 3F,https://ght3500.gorp.jp/,TRUE
深大寺 水神苑,050-5484-7017,,東京都,調布市,深大寺元町5-10-3,,https://a043800.gorp.jp/,TRUE
鶏料理専門店×個室 とりかく 丸の内国際ビル店,050-5484-5210,,東京都,千代田区,丸の内3-1-1,国際ビルB1,https://torikaku-marunouchi.gorp.jp/,TRUE
麹蔵 神田店,050-5484-9926,,東京都,千代田区,内神田3-13-4,東陽ビルB1・1F,,FALSE
鹿児島和牛と厳選日本酒 完全個室居酒屋 八重洲屋 日本橋店,050-5489-1683,,東京都,中央区,日本橋3-3-13,,https://gg1u102.gorp.jp/,TRUE
九州うまかもん エビス 戸越総本店,050-5488-0449,,東京都,品川区,平塚1-7-10,,https://gj62100.gorp.jp/,TRUE
全席個室 隠れ家ダイニング かなで 上野本店,050-5493-8560,,東京都,台東区,上野4-8-9,OAKビル3F,https://ghwt001.gorp.jp/,TRUE
銀座 土佐料理 祢保希（ねぼけ）,050-5484-7931,,東京都,中央区,銀座7-6-8,西五番街通り,https://ginza-neboke.gorp.jp/,TRUE
Mexican Dining Otra,050-5485-7856,,東京都,渋谷区,恵比寿南1-23-8,アメリカンブリッジビル 3F,https://g848000.gorp.jp/,TRUE
しゃぶしゃぶ温野菜 池上店,050-5484-2014,,東京都,大田区,池上7-7-11,メゾンプルミエール1F,https://g273104.gorp.jp/,TRUE
北海道イタリアン ミアボッカ nonowa武蔵小金井店,050-5488-6046,,東京都,小金井市,本町5-1-18,nonowa武蔵小金井ムサコガーデン,https://p437913.gorp.jp/,TRUE
個室居酒屋 厳選和牛と新鮮魚介 名物家 有楽町,050-5486-3365,,東京都,千代田区,有楽町1-2-11,オーキッドスクエア4F,https://gj1w004.gorp.jp/,TRUE
京都石塀小路豆ちゃ 有楽町,050-5484-6226,,東京都,千代田区,有楽町2-5-1,ルミネ有楽町店ルミネ1 8F,https://r.gnavi.co.jp/gazv407/,TRUE
TGIフライデーズ 東京ドームシティ店,050-5486-2028,,東京都,文京区,後楽1-3-61,後楽園ホールビル1F,https://r.gnavi.co.jp/ksjycmnw0000/,TRUE
オステリア カッパ,050-5488-3831,,東京都,練馬区,桜台1-5-8,桜台第一ビル1F,https://gguv300.gorp.jp/,TRUE
ナンクルナイサ きばいやんせー 丸の内オアゾ店,050-5492-3759,,東京都,千代田区,丸の内1-6-4,丸の内オアゾ6F,https://a186434.gorp.jp/,TRUE
Cat Cafe てまりのおうち,050-5489-2688,,東京都,武蔵野市,吉祥寺本町2-13-14,3F,https://gh0x200.gorp.jp/,TRUE
Ottotto BREWERY 渋谷道玄坂店,050-5486-6727,,東京都,渋谷区,道玄坂2-25-15,福田ビル1F,https://ottotto-brewery.com/shibuyadogenzaka/,TRUE
中華料理 雅,050-5488-3236,,東京都,渋谷区,代々木2-13-8,エスト新宿ビルB1,https://gj6r700.gorp.jp/,TRUE
全席完全個室居酒屋 匠 品川店,050-5487-1227,,東京都,港区,港南2-2-9,朝日ビル4F,https://gj40401.gorp.jp/,TRUE
Dining Cafe ESPERIA（エスペリア）,050-5488-3539,,東京都,千代田区,神田神保町2-4,太平電業ビルB1,https://g753500.gorp.jp/,TRUE
本まぐろ中落ち100円の居酒屋 個室 黒潮 秋葉原店,050-5489-3345,,東京都,千代田区,神田佐久間町2-13-27,,https://ggzf402.gorp.jp/,TRUE
